,Token,Pos
0,2555,NUM
1,11th,PROPN
2,Avenue,PROPN
3,Greeley,PROPN
4,US,PROPN
5,2513,NUM
6,Highway,PROPN
7,6,NUM
8,And,CCONJ
9,50,NUM
10,Grand,PROPN
11,Junction,PROPN
12,US,PROPN
13,1125,NUM
14,Patterson,PROPN
15,Road,PROPN
16,Grand,PROPN
17,Junction,PROPN
18,US,PROPN
19,3455,NUM
20,N,PROPN
21,Salida,PROPN
22,Court,PROPN
23,Aurora,PROPN
24,US,PROPN
25,5225,NUM
26,E,PROPN
27,Colfax,PROPN
28,Avenue,PROPN
29,Denver,PROPN
30,US,PROPN
31,1350,NUM
32,W,PROPN
33,Colfax,PROPN
34,Avenue,PROPN
35,Denver,PROPN
36,US,PROPN
37,200,NUM
38,16th,ADJ
39,Street,PROPN
40,Denver,PROPN
41,US,PROPN
42,1772,NUM
43,N,PROPN
44,College,PROPN
45,Ave,PROPN
46,Fayetteville,PROPN
47,US,PROPN
48,605,NUM
49,S,PROPN
50,Havana,PROPN
51,Street,PROPN
52,Aurora,PROPN
53,US,PROPN
54,16th,NOUN
55,Glenarm,PROPN
56,Place,PROPN
57,Denver,PROPN
58,US,PROPN
59,201,NUM
60,W,PROPN
61,Fillmore,PROPN
62,Street,PROPN
63,Colorado,PROPN
64,Springs,PROPN
65,US,PROPN
66,1560,NUM
67,Briargate,PROPN
68,Boulevard,PROPN
69,Colorado,PROPN
70,Springs,PROPN
71,US,PROPN
72,1916,NUM
73,Southgate,PROPN
74,Rd,PROPN
75,Space,PROPN
76,E8a,PROPN
77,Colorado,PROPN
78,Springs,PROPN
79,US,PROPN
80,7140,NUM
81,N,PROPN
82,Academy,PROPN
83,Blvd,PROPN
84,Space,PROPN
85,B4,PROPN
86,Colorado,PROPN
87,Springs,PROPN
88,US,PROPN
89,11410,NUM
90,N,PROPN
91,Rodney,PROPN
92,Parham,PROPN
93,Rd,PROPN
94,Little,PROPN
95,Rock,PROPN
96,US,PROPN
97,1111,NUM
98,Highway,PROPN
99,62,NUM
100,65,NUM
101,N,PROPN
102,Harrison,PROPN
103,US,PROPN
104,211,NUM
105,Thorsheim,PROPN
106,St,PROPN
107,Kodiak,PROPN
108,US,PROPN
109,2417,NUM
110,Tongass,PROPN
111,Ave,PROPN
112,Ste,PROPN
113,120,NUM
114,Ketchikan,PROPN
115,US,PROPN
116,2695,NUM
117,Mill,PROPN
118,Bay,PROPN
119,Rd,PROPN
120,Kodiak,PROPN
121,US,PROPN
122,209,NUM
123,N,CCONJ
124,Santa,PROPN
125,Claus,PROPN
126,Ln,PROPN
127,North,PROPN
128,Pole,PROPN
129,US,PROPN
130,808,NUM
131,Water,PROPN
132,St,PROPN
133,Ketchikan,PROPN
134,US,PROPN
135,10160,NUM
136,Kenai,PROPN
137,Spur,PROPN
138,Hwy,PROPN
139,Kenai,PROPN
140,US,PROPN
141,1991,NUM
142,Airport,PROPN
143,Way,PROPN
144,Fairbanks,PROPN
145,US,PROPN
146,1553,NUM
147,Bragaw,PROPN
148,St,PROPN
149,Anchorage,PROPN
150,US,PROPN
151,810,NUM
152,Row,NOUN
153,River,PROPN
154,Rd,PROPN
155,Cottage,PROPN
156,Grove,PROPN
157,US,PROPN
158,198,NUM
159,Central,PROPN
160,Avenue,PROPN
161,White,PROPN
162,Plains,PROPN
163,US,PROPN
164,1914,NUM
165,Adams,PROPN
166,Ave,PROPN
167,La,PROPN
168,Grande,PROPN
169,US,PROPN
170,8429,NUM
171,W,PROPN
172,Center,PROPN
173,Rd,PROPN
174,Omaha,PROPN
175,US,PROPN
176,1808,NUM
177,Ashville,PROPN
178,Road,PROPN
179,Leeds,VERB
180,US,PROPN
181,303,NUM
182,9th,NOUN
183,Ave,PROPN
184,SW,PROPN
185,Lafayette,PROPN
186,US,PROPN
187,503,NUM
188,1st,NOUN
189,Ave,PROPN
190,W,PROPN
191,Reform,PROPN
192,US,PROPN
193,302,NUM
194,W,PROPN
195,Bypass,PROPN
196,Andalusia,PROPN
197,US,PROPN
198,5356,NUM
199,Highway,NOUN
200,67,NUM
201,S,PROPN
202,Somerville,PROPN
203,US,PROPN
204,9433,NUM
205,Highway,NOUN
206,431,NUM
207,S,PROPN
208,Owens,PROPN
209,Cross,PROPN
210,Roads,PROPN
211,US,PROPN
212,505,NUM
213,E,NOUN
214,Cumming,PROPN
