MSSubClass,LotArea,Street,BsmtFullBath,1stFlrSF,2ndFlrSF,YearRemodAdd,CentralAir,GarageQual,SaleCondition,Neighborhood
60,8450,Pave,1,856,854,2003,Y,TA,Normal,CollgCr
20,9600,Pave,0,1262,0,1976,Y,TA,Normal,Veenker
60,11250,Pave,1,920,866,2002,Y,TA,Normal,CollgCr
70,9550,Pave,1,961,756,1970,Y,TA,Abnorml,Crawfor
60,14260,Pave,1,1145,1053,2000,Y,TA,Normal,NoRidge
50,14115,Pave,1,796,566,1995,Y,TA,Normal,Mitchel
20,10084,Pave,1,1694,0,2005,Y,TA,Normal,Somerst
60,10382,Pave,1,1107,983,1973,Y,TA,Normal,NWAmes
50,6120,Pave,0,1022,752,1950,Y,Fa,Abnorml,OldTown
190,7420,Pave,1,1077,0,1950,Y,Gd,Normal,BrkSide
20,11200,Pave,1,1040,0,1965,Y,TA,Normal,Sawyer
60,11924,Pave,1,1182,1142,2006,Y,TA,Partial,NridgHt
20,12968,Pave,1,912,0,1962,Y,TA,Normal,Sawyer
20,10652,Pave,0,1494,0,2007,Y,TA,Partial,CollgCr
20,10920,Pave,1,1253,0,1960,Y,TA,Normal,NAmes
45,6120,Pave,0,854,0,2001,Y,TA,Normal,BrkSide
20,11241,Pave,1,1004,0,1970,Y,TA,Normal,NAmes
90,10791,Pave,0,1296,0,1967,Y,TA,Normal,Sawyer
20,13695,Pave,1,1114,0,2004,Y,TA,Normal,SawyerW
20,7560,Pave,0,1339,0,1965,Y,TA,Abnorml,NAmes
60,14215,Pave,0,1158,1218,2006,Y,TA,Partial,NridgHt
45,7449,Pave,0,1108,0,1950,Y,TA,Normal,IDOTRR
20,9742,Pave,0,1795,0,2002,Y,TA,Normal,CollgCr
120,4224,Pave,1,1060,0,1976,Y,TA,Normal,MeadowV
20,8246,Pave,1,1060,0,2001,Y,TA,Normal,Sawyer
20,14230,Pave,0,1600,0,2007,Y,TA,Normal,NridgHt
20,7200,Pave,0,900,0,2000,Y,TA,Normal,NAmes
20,11478,Pave,1,1704,0,2008,Y,TA,Normal,NridgHt
20,16321,Pave,1,1600,0,1997,Y,TA,Normal,NAmes
30,6324,Pave,0,520,0,1950,N,Fa,Normal,BrkSide
70,8500,Pave,0,649,668,1950,N,TA,Normal,IDOTRR
20,8544,Pave,0,1228,0,2006,Y,TA,Normal,Sawyer
20,11049,Pave,0,1234,0,2007,Y,TA,Normal,CollgCr
